"","PassengerId","Survived","Pclass","Title","Sex","Age","Fare","Set_type","Family.unit"
"1",1,"0","3","non_elite","male",-0.597777585350172,-0.503098784435103,"train",0.0733242668290928
"2",2,"1","1","non_elite","female",0.624068511730538,0.734462946239517,"train",0.0733242668290928
"3",3,"1","3","non_elite","female",-0.292316061079994,-0.490053163356612,"train",-0.558132741587239
"4",4,"1","1","non_elite","female",0.394972368527905,0.383037106600207,"train",0.0733242668290928
"5",5,"0","3","non_elite","male",0.394972368527905,-0.487637307601335,"train",-0.558132741587239
"6",6,"0","3","non_elite","male",0.394972368527905,-0.479746156362301,"train",-0.558132741587239
"7",7,"0","1","non_elite","male",1.84591460881125,0.359120134622973,"train",-0.558132741587239
"8",8,"0","3","elite","male",-2.12508520670106,-0.235905137901555,"train",1.96769529207809
"9",9,"1","3","non_elite","female",-0.21595068001245,-0.428046843199391,"train",0.704781275245425
"10",10,"1","2","non_elite","female",-1.20870063389053,-0.0620446962750461,"train",0.0733242668290928
"11",11,"1","3","non_elite","female",-1.97235444456597,-0.320460089336222,"train",0.704781275245425
"12",12,"1","1","non_elite","female",2.15137613308143,-0.130090655820458,"train",-0.558132741587239
"13",13,"0","3","non_elite","male",-0.750508347485261,-0.487637307601335,"train",-0.558132741587239
"14",14,"0","3","non_elite","male",0.700433892798083,-0.0387713082710173,"train",3.23060930891075
"15",15,"0","3","non_elite","female",-1.20870063389053,-0.4914215040564,"train",-0.558132741587239
"16",16,"1","2","non_elite","female",1.92227998987879,-0.333988881565769,"train",-0.558132741587239
"17",17,"0","3","elite","male",-2.12508520670106,-0.0803240272617679,"train",2.59915230049442
"18",18,"1","2","non_elite","male",0.0895108442577275,-0.391969419692398,"train",-0.558132741587239
"19",19,"0","3","non_elite","female",0.0895108442577275,-0.29533518948135,"train",0.0733242668290928
"20",20,"1","3","non_elite","female",-0.139585298944906,-0.503581955586158,"train",-0.558132741587239
"21",21,"0","2","non_elite","male",0.394972368527905,-0.140720421143673,"train",-0.558132741587239
"22",22,"1","2","non_elite","male",0.318606987460361,-0.391969419692398,"train",-0.558132741587239
"23",23,"1","3","non_elite","female",-1.13233525282298,-0.488039305999013,"train",-0.558132741587239
"24",24,"1","1","non_elite","male",-0.139585298944906,0.0428846162573183,"train",-0.558132741587239
"25",25,"0","3","non_elite","female",-1.66689292029579,-0.235905137901555,"train",1.96769529207809
"26",26,"1","3","non_elite","female",0.624068511730538,-0.0365970380912687,"train",3.23060930891075
"27",27,"0","3","non_elite","male",-0.21595068001245,-0.503581955586158,"train",-0.558132741587239
"28",28,"0","1","non_elite","male",-0.826873728552805,4.43974209086,"train",2.59915230049442
"29",29,"1","3","non_elite","female",-0.521412204282627,-0.490938332905345,"train",-0.558132741587239
"30",30,"0","3","non_elite","male",-0.0632199178773612,-0.490617507261044,"train",-0.558132741587239
"31",31,"0","1","elite","male",0.776799273865627,-0.107462784474239,"train",-0.558132741587239
"32",32,"1","1","non_elite","female",-0.445046823215083,2.18856652534026,"train",0.0733242668290928
"33",33,"1","3","non_elite","female",-0.445046823215083,-0.493435361413998,"train",-0.558132741587239
"34",34,"0","2","non_elite","male",2.76229918162178,-0.440286534797922,"train",-0.558132741587239
"35",35,"0","1","non_elite","male",-0.139585298944906,0.944883982524074,"train",0.0733242668290928
"36",36,"0","1","non_elite","male",0.929530036000716,0.361777575953777,"train",0.0733242668290928
"37",37,"1","3","non_elite","male",0.624068511730538,-0.503500782832781,"train",-0.558132741587239
"38",38,"0","3","non_elite","male",-0.674142966417716,-0.487637307601335,"train",-0.558132741587239
"39",39,"0","3","non_elite","female",-0.903239109620349,-0.29533518948135,"train",0.704781275245425
"40",40,"1","3","non_elite","female",-1.20870063389053,-0.425951813088415,"train",0.0733242668290928
"41",41,"0","3","non_elite","female",0.776799273865627,-0.460096551991187,"train",0.0733242668290928
"42",42,"0","2","non_elite","female",-0.21595068001245,-0.237354651354721,"train",0.0733242668290928
"43",43,"0","3","non_elite","male",-0.139585298944906,-0.490617507261044,"train",-0.558132741587239
"44",44,"1","2","non_elite","female",-2.04871982563352,0.160376378717119,"train",1.33623828366176
"45",45,"1","3","non_elite","female",-0.826873728552805,-0.490938332905345,"train",-0.558132741587239
"46",46,"0","3","non_elite","male",-0.368681442147539,-0.487637307601335,"train",-0.558132741587239
"47",47,"0","3","non_elite","male",-0.521412204282627,-0.343652304586874,"train",0.0733242668290928
"48",48,"1","3","non_elite","female",-0.445046823215083,-0.493435361413998,"train",-0.558132741587239
"49",49,"0","3","non_elite","male",0.700433892798083,-0.224227857522852,"train",0.704781275245425
"50",50,"0","3","non_elite","female",-0.903239109620349,-0.299200558689792,"train",0.0733242668290928
"51",51,"0","3","elite","male",-1.74325830136334,0.123815784059071,"train",2.59915230049442
"52",52,"0","3","non_elite","male",-0.674142966417716,-0.492469019111888,"train",-0.558132741587239
"53",53,"1","1","non_elite","female",1.46408770347353,0.839715017100787,"train",0.0733242668290928
"54",54,"1","2","non_elite","female",-0.0632199178773612,-0.140720421143673,"train",0.0733242668290928
"55",55,"0","1","non_elite","male",2.68593380055424,0.554644037978195,"train",0.0733242668290928
"56",56,"1","1","non_elite","male",0.165876225325272,0.0428846162573183,"train",-0.558132741587239
"57",57,"1","2","non_elite","female",-0.674142966417716,-0.440286534797922,"train",-0.558132741587239
"58",58,"0","3","non_elite","male",-0.101402608411133,-0.503500782832781,"train",-0.558132741587239
"59",59,"1","2","non_elite","female",-1.89598906349843,-0.106898440569806,"train",1.33623828366176
"60",60,"0","3","elite","male",-1.43779677709316,0.263210661138508,"train",3.86206631732708
"61",61,"0","3","non_elite","male",-0.597777585350172,-0.503500782832781,"train",-0.558132741587239
"62",62,"1","1","non_elite","female",0.624068511730538,0.902929265135646,"train",-0.558132741587239
"63",63,"0","1","non_elite","male",1.15862617920335,0.970090055132324,"train",0.0733242668290928
"64",64,"0","3","elite","male",-1.97235444456597,-0.103999413663475,"train",2.59915230049442
"65",65,"0","1","non_elite","male",0.0895108442577275,-0.107462784474239,"train",-0.558132741587239
"66",66,"1","3","elite","male",0.165876225325272,-0.348565188850804,"train",0.704781275245425
"67",67,"1","2","non_elite","female",-0.0632199178773612,-0.440286534797922,"train",-0.558132741587239
"68",68,"0","3","non_elite","male",-0.826873728552805,-0.485544210174964,"train",-0.558132741587239
"69",69,"1","3","non_elite","female",-0.979604490687894,-0.490053163356612,"train",3.23060930891075
"70",70,"0","3","non_elite","male",-0.292316061079994,-0.475799614400482,"train",0.704781275245425
"71",71,"0","2","non_elite","male",0.165876225325272,-0.440286534797922,"train",-0.558132741587239
"72",72,"0","3","non_elite","female",-1.05596987175544,0.263210661138508,"train",3.86206631732708
"73",73,"0","2","non_elite","male",-0.674142966417716,0.777304765861283,"train",-0.558132741587239
"74",74,"0","3","non_elite","male",-0.292316061079994,-0.363864320177817,"train",0.0733242668290928
"75",75,"1","3","non_elite","male",0.165876225325272,0.448667210390343,"train",-0.558132741587239
"76",76,"0","3","non_elite","male",-0.368681442147539,-0.495368046018219,"train",-0.558132741587239
"77",77,"0","3","non_elite","male",0.0131454631901832,-0.490617507261044,"train",-0.558132741587239
"78",78,"0","3","non_elite","male",0.394972368527905,-0.487637307601335,"train",-0.558132741587239
"79",79,"1","2","elite","male",-2.21443270255009,-0.0827398830170441,"train",0.704781275245425
"80",80,"1","3","non_elite","female",0.0131454631901832,-0.402116013864558,"train",-0.558132741587239
"81",81,"0","3","non_elite","male",-0.597777585350172,-0.469276803861236,"train",-0.558132741587239
"82",82,"1","3","non_elite","male",-0.0632199178773612,-0.459613380840131,"train",-0.558132741587239
"83",83,"1","3","non_elite","female",-0.139585298944906,-0.492710604687415,"train",-0.558132741587239
"84",84,"0","1","non_elite","male",-0.139585298944906,0.26707603034695,"train",-0.558132741587239
"85",85,"1","2","non_elite","female",-0.979604490687894,-0.440286534797922,"train",-0.558132741587239
"86",86,"1","3","non_elite","female",0.242241606392816,-0.3368879084721,"train",1.33623828366176
"87",87,"0","3","non_elite","male",-1.05596987175544,0.0211419144598325,"train",1.96769529207809
"88",88,"0","3","non_elite","male",0.624068511730538,-0.487637307601335,"train",-0.558132741587239
"89",89,"1","1","non_elite","female",-0.521412204282627,4.43974209086,"train",2.59915230049442
"90",90,"0","3","non_elite","male",-0.445046823215083,-0.487637307601335,"train",-0.558132741587239
"91",91,"0","3","non_elite","male",-0.0632199178773612,-0.487637307601335,"train",-0.558132741587239
"92",92,"0","3","non_elite","male",-0.750508347485261,-0.4914215040564,"train",-0.558132741587239
"93",93,"0","1","non_elite","male",1.23499156027089,0.53910138839105,"train",0.0733242668290928
"94",94,"0","3","non_elite","male",-0.292316061079994,-0.24556856092266,"train",1.33623828366176
"95",95,"0","3","non_elite","male",2.22774151414897,-0.503098784435103,"train",-0.558132741587239
